Unnamed: 0,PLZ,TUEREN,PREIS,MARKE,MODELL,REGDATE,KM_STAND,LEISTUNG_PS,FARBE,TREIBSTOFF,AUFBAU,GETRIEBE_TYP
10229,3286,5,5500,Renault,Trafic,2007,250'000 - 299'999,114,Grau,1,2,1
10230,1752,5,47319,Opel,Grandland,2022,5'000 - 9'999,181,Sonstige,2,3,0
10231,1784,5,21990,SEAT,Leon,2015,100'000 - 109'999,280,Weiss,0,0,0
10232,3185,5,28950,Porsche,Cayenne,2013,110'000 - 119'999,400,Schwarz,0,3,0
10234,3186,3,5999,Volkswagen,Corrado,1991,150'000 - 159'999,130,Rot,0,5,1
10235,3178,5,9890,Jeep,Cherokee,1991,160'000 - 169'999,185,Grün,0,3,0
10236,1752,5,21900,Mini,Mini Clubman,2016,75'000 - 79'999,190,Sonstige,1,0,0
10237,3185,4,19950,BMW,3er,1990,250'000 - 299'999,170,Weiss,0,1,1
10238,3178,5,5500,Skoda,Fabia,2008,190'000 - 199'999,105,Schwarz,1,1,1
10240,1752,5,46900,Ford,Tourneo,2022,0 - 4'999,127,Schwarz,2,2,0
10241,1784,5,12400,Volkswagen,Tiguan,2014,160'000 - 169'999,180,Weiss,0,3,1
10242,3178,3,2150,Mini,Cooper S,2002,180'000 - 189'999,160,Grau,0,5,1
10244,1720,3,23890,Fiat,500,2021,0 - 4'999,70,Sonstige,2,4,1
10245,1752,5,37990,Mazda,3,2022,10'000 - 14'999,186,Sonstige,0,1,0
10246,3175,5,13500,BMW,540,1993,250'000 - 299'999,286,Sonstige,0,1,0
10247,1753,5,29990,Volkswagen,Tiguan,2018,110'000 - 119'999,180,Schwarz,0,3,0
10248,3175,2,49900,MG,MGA,1959,0 - 4'999,70,Rot,0,4,1
10250,1784,5,22900,Audi,Q5,2013,120'000 - 129'999,211,Schwarz,2,3,0
10251,3184,4,3500,Mercedes-Benz,280,1976,190'000 - 199'999,180,Grün,0,1,1
10252,3178,5,4490,Daihatsu,Terios,2002,160'000 - 169'999,86,Silber,0,3,0
10253,3280,5,2490,SEAT,Ibiza,2005,200'000 - 249'999,64,Grau,0,1,1
10254,3178,5,11990,Fiat,Panda Van,2018,40'000 - 44'999,85,Gelb,0,2,1
10255,1753,4,31200,Nissan,NV300,2019,30'000 - 34'999,145,Grau,1,2,1
10257,1680,5,1500,Audi,A3,2004,180'000 - 189'999,150,Schwarz,0,1,1
10258,1712,5,29000,Mercedes-Benz,ML,2013,95'000 - 99'999,258,Weiss,1,3,0
10259,1617,2,29900,Smart,City/Fortwo,2003,0 - 4'999,70,Schwarz,0,4,0
10260,3185,5,23800,Volkswagen,Polo,2021,15'000 - 19'999,95,Grau,0,1,0
10261,3184,5,98900,BMW,X7,2019,60'000 - 64'999,400,Grau,1,3,0
10262,1720,3,16190,Fiat,500,2022,0 - 4'999,70,Sonstige,2,1,1
10263,3286,5,7500,Kia,Picanto,2013,55'000 - 59'999,69,Grau,0,1,1
10266,1752,5,24390,Opel,Corsa,2021,10'000 - 14'999,100,Sonstige,0,1,0
10267,1712,5,6800,Citroën,C3,2013,120'000 - 129'999,114,Schwarz,1,2,1
10268,1700,3,5900,Volkswagen,Golf,1981,190'000 - 199'999,70,Grün,0,1,1
10269,1484,5,53000,Audi,Quattro,2017,70'000 - 74'999,400,Sonstige,0,1,0
10270,3212,5,51500,SEAT,Leon,2022,0 - 4'999,300,Sonstige,0,1,0
10271,3178,5,15555,Alfa Romeo,156,2003,200'000 - 249'999,250,Blau,0,0,1
10272,1753,5,31500,Renault,Captur,2020,15'000 - 19'999,92,Sonstige,2,3,0
10273,3178,5,4490,Subaru,Forester,2000,200'000 - 249'999,125,Sonstige,0,3,1
10275,1752,5,24390,Opel,Corsa,2021,10'000 - 14'999,100,Sonstige,0,1,0
10277,3280,3,89780,Audi,R8,2012,55'000 - 59'999,550,Weiss,0,5,0
10278,3178,5,64990,Mercedes-Benz,CLS,2013,65'000 - 69'999,584,Weiss,0,0,0
10281,1772,5,15900,Kia,Rio,2017,35'000 - 39'999,109,Grau,0,1,0
10284,3280,5,2200,Mercedes-Benz,A-CLASS,1999,190'000 - 199'999,90,Grau,0,0,1
10285,1784,5,24999,Mercedes-Benz,C-Klasse,2016,110'000 - 119'999,204,Weiss,1,0,0
10286,1784,5,19990,Audi,Q3,2015,110'000 - 119'999,140,Schwarz,1,3,0
10287,1752,5,34990,Opel,Corsa,2021,5'000 - 9'999,136,Sonstige,2,1,0
10289,1541,5,4500,Peugeot,107,2009,140'000 - 149'999,68,Blau,0,1,1
10290,3178,3,8990,Suzuki,Samurai,1992,65'000 - 69'999,69,Rot,0,3,1
10291,1752,5,29900,Ford,Kuga,2021,15'000 - 19'999,150,Schwarz,0,3,1
10292,1752,5,39760,Opel,Corsa,2021,5'000 - 9'999,136,Sonstige,2,1,0
10293,3178,5,42999,Porsche,Macan,2016,95'000 - 99'999,258,Blau,1,3,0
10295,3185,4,12500,Fiat,500,2016,35'000 - 39'999,105,Schwarz,0,4,1
10296,1784,5,16400,BMW,X-serien,2011,150'000 - 159'999,184,Sonstige,1,3,0
10297,1772,5,18900,Honda,Civic,2018,50'000 - 54'999,129,Silber,0,1,0
10299,3212,5,1900,Ford,Fusion,2004,200'000 - 249'999,100,Blau,0,2,1
10300,1784,5,15800,Skoda,Octavia,2016,85'000 - 89'999,150,Schwarz,0,0,1
10301,1753,4,62490,Volkswagen,LT,2020,40'000 - 44'999,199,Grau,1,2,0
10302,1752,5,34900,Opel,Mokka,2021,5'000 - 9'999,130,Sonstige,0,3,0
10303,1752,5,31990,Ford,Focus,2022,0 - 4'999,125,Weiss,2,0,0
10304,1784,3,14990,DS Automobiles,DS3,2016,30'000 - 34'999,130,Sonstige,0,1,1
10305,1752,5,35600,Ford,Kuga,2021,5'000 - 9'999,152,Sonstige,2,3,0
10306,1752,5,27900,Opel,Grandland X,2018,20'000 - 24'999,120,Sonstige,1,3,0
10308,3184,5,31900,Peugeot,508,2020,45'000 - 49'999,130,Grau,1,0,0
10309,1742,5,52000,Audi,Q5,2020,50'000 - 54'999,252,Grau,0,3,0
10310,1773,4,11500,Mini,Clubman,2012,110'000 - 119'999,211,Rot,0,0,1
10311,1772,3,10500,DS Automobiles,DS3,2015,70'000 - 74'999,120,Schwarz,1,1,1
